CustomerID,Recency,Frequency,Monetary,Cluster,Segment,churn_probability,churn_predicted
12346,325,12,77556.46,1,Champions,0.0011372425,0
12347,2,8,4921.53,1,Champions,6.291686e-05,0
12348,75,5,2019.4,1,Champions,0.008673976,0
12349,18,4,4428.6900000000005,1,Champions,0.00027682193,0
12350,310,1,334.40000000000003,0,Dormant / At-Risk,0.9998547,1
12351,375,1,300.93,0,Dormant / At-Risk,0.9998938,1
12352,36,10,2849.84,1,Champions,0.00013637259,0
12353,204,2,406.76,0,Dormant / At-Risk,0.9997147,1
12354,232,1,1079.4,0,Dormant / At-Risk,0.9997472,1
12355,214,2,947.61,0,Dormant / At-Risk,0.99959534,1
12356,22,6,6371.7300000000005,1,Champions,7.553024e-05,0
12357,33,3,18287.66,1,Champions,0.015356601,0
12358,1,5,3887.07,1,Champions,0.00012993427,0
12359,57,10,8873.39,1,Champions,0.000120864395,0
12360,52,8,4252.89,1,Champions,0.00011479832,0
12361,287,4,511.25,0,Dormant / At-Risk,0.99897313,1
12362,3,11,5356.2300000000005,1,Champions,6.264033e-05,0
12363,109,2,552.0,0,Dormant / At-Risk,0.9995732,1
12364,7,4,1313.1,1,Champions,0.0021709846,0
12365,291,2,641.38,0,Dormant / At-Risk,0.99969673,1
12366,633,1,500.24,0,Dormant / At-Risk,0.9997451,1
12367,4,1,168.9,0,Dormant / At-Risk,0.99464923,1
12368,628,1,917.7,0,Dormant / At-Risk,0.99962676,1
12369,413,3,1791.15,0,Dormant / At-Risk,0.9960588,1
12370,51,7,4316.56,1,Champions,0.00012007806,0
12371,44,5,4067.38,1,Champions,0.00032785206,0
12372,71,3,1298.04,0,Dormant / At-Risk,0.95125264,1
12373,311,3,1127.65,0,Dormant / At-Risk,0.99870265,1
12374,25,4,2989.2200000000003,1,Champions,0.0019290624,0
12375,10,2,457.5,0,Dormant / At-Risk,0.91839814,1
12376,389,2,503.15,0,Dormant / At-Risk,0.9997327,1
12377,315,4,3426.32,0,Dormant / At-Risk,0.5727727,1
12378,129,2,5416.32,0,Dormant / At-Risk,0.8187421,1
12379,81,4,1620.22,1,Champions,0.42290184,0
12380,21,11,9676.3,1,Champions,6.650912e-05,0
12381,4,5,1845.31,1,Champions,0.0008534843,0
12383,184,5,1850.56,0,Dormant / At-Risk,0.62432206,1
12384,28,2,585.27,0,Dormant / At-Risk,0.9963989,1
12385,379,1,1938.4,0,Dormant / At-Risk,0.9990088,1
12386,337,2,401.9,0,Dormant / At-Risk,0.9997447,1
12387,415,1,143.94,0,Dormant / At-Risk,0.99994564,1
12388,15,8,3901.11,1,Champions,8.2411614e-05,0
12389,402,3,1433.33,0,Dormant / At-Risk,0.99762684,1
12390,79,1,549.84,0,Dormant / At-Risk,0.99973196,1
12391,21,6,2724.84,1,Champions,0.00014691967,0
12392,591,1,234.75000000000003,0,Dormant / At-Risk,0.9999113,1
12393,72,6,2399.45,1,Champions,0.0006078714,0
12394,63,2,1272.48,0,Dormant / At-Risk,0.9885283,1
12395,19,15,4721.17,1,Champions,6.5015825e-05,0
12396,674,1,931.43,0,Dormant / At-Risk,0.99962485,1
12397,35,2,2409.9,1,Champions,0.736326,1
