CustomerID,Recency,Frequency,Monetary,Cluster,Segment,churn_probability,churn_predicted,avg_order_value,CLV_basic,CLV_adjusted,Retention_ROI,Worth_Retaining,CLV_tier
12346,325,12,77556.46,1,Champions,0.0011372425,0,6463.038333333334,116334.69,116202.38924630768,-5694.433746307681,False,Platinum
12347,2,8,4921.53,1,Champions,6.291686e-05,0,615.19125,7382.295,7381.830529179006,-378.65027917900625,False,Gold
12348,75,5,2019.4,1,Champions,0.008673976,0,403.88,3029.1000000000004,3002.8256592984003,-135.18065929839986,False,Gold
12349,18,4,4428.6900000000005,1,Champions,0.00027682193,0,1107.1725000000001,6643.035000000001,6641.196062230243,-340.31281223024234,False,Gold
12350,310,1,334.40000000000003,0,Dormant / At-Risk,0.9998547,1,334.40000000000003,501.6,0.07288248000000745,466.44711751999995,True,Bronze
12351,375,1,300.93,0,Dormant / At-Risk,0.9998938,1,300.93,451.395,0.047938148999975276,418.77731185100004,True,Bronze
12352,36,10,2849.84,1,Champions,0.00013637259,0,284.98400000000004,4274.76,4274.177039907172,-223.15503990717207,False,Gold
12353,204,2,406.76,0,Dormant / At-Risk,0.9997147,1,203.38,610.14,0.17407294200002676,569.4589270579999,True,Bronze
12354,232,1,1079.4,0,Dormant / At-Risk,0.9997472,1,1079.4,1619.1000000000001,0.4093084800000858,1527.7356915199998,True,Bronze
12355,214,2,947.61,0,Dormant / At-Risk,0.99959534,1,473.805,1421.415,0.5751897938999226,1339.7690602061,True,Bronze
12356,22,6,6371.7300000000005,1,Champions,7.553024e-05,0,1061.9550000000002,9557.595000000001,9556.873112555828,-487.1578625558268,False,Platinum
12357,33,3,18287.66,1,Champions,0.015356601,0,6095.886666666666,27431.489999999998,27010.235553234506,-960.3200532345109,False,Platinum
12358,1,5,3887.07,1,Champions,0.00012993427,0,777.414,5830.6050000000005,5829.847404595667,-300.7726545956675,False,Gold
12359,57,10,8873.39,1,Champions,0.000120864395,0,887.3389999999999,13310.085,13308.476284629076,-673.8955346290768,False,Platinum
12360,52,8,4252.89,1,Champions,0.00011479832,0,531.61125,6379.335000000001,6378.602663059283,-328.2344130592828,False,Gold
12361,287,4,511.25,0,Dormant / At-Risk,0.99897313,1,127.8125,766.875,0.78748093125001,717.74376906875,True,Bronze
12362,3,11,5356.2300000000005,1,Champions,6.264033e-05,0,486.93000000000006,8034.345000000001,8033.841725977867,-411.21397597786654,False,Gold
12363,109,2,552.0,0,Dormant / At-Risk,0.9995732,1,276.0,828.0,0.35339039999995814,776.2466095999999,True,Bronze
12364,7,4,1313.1,1,Champions,0.0021709846,0,328.275,1969.6499999999999,1965.37392018261,-104.20642018261015,False,Silver
12365,291,2,641.38,0,Dormant / At-Risk,0.99969673,1,320.69,962.0699999999999,0.2917669688999679,903.6747330310999,True,Bronze
