CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12346,325,12,77556.46,1,Champions
12347,2,8,4921.53,1,Champions
12348,75,5,2019.3999999999999,1,Champions
12349,18,4,4428.6900000000005,1,Champions
12350,310,1,334.40000000000003,0,Dormant / At-Risk
12351,375,1,300.93,0,Dormant / At-Risk
12352,36,10,2849.84,1,Champions
12353,204,2,406.76,0,Dormant / At-Risk
12354,232,1,1079.4,0,Dormant / At-Risk
12355,214,2,947.61,0,Dormant / At-Risk
12356,22,6,6371.7300000000005,1,Champions
12357,33,3,18287.66,1,Champions
12358,1,5,3887.07,1,Champions
12359,57,10,8873.39,1,Champions
12360,52,8,4252.89,1,Champions
12361,287,4,511.25,0,Dormant / At-Risk
12362,3,11,5356.2300000000005,1,Champions
12363,109,2,552.0,0,Dormant / At-Risk
12364,7,4,1313.1,1,Champions
12365,291,2,641.38,0,Dormant / At-Risk
12366,633,1,500.24,0,Dormant / At-Risk
12367,4,1,168.9,0,Dormant / At-Risk
12368,628,1,917.7,0,Dormant / At-Risk
12369,413,3,1791.15,0,Dormant / At-Risk
12370,51,7,4316.56,1,Champions
12371,44,5,4067.38,1,Champions
12372,71,3,1298.04,0,Dormant / At-Risk
12373,311,3,1127.65,0,Dormant / At-Risk
12374,25,4,2989.2200000000003,1,Champions
12375,10,2,457.5,0,Dormant / At-Risk
12376,389,2,503.15,0,Dormant / At-Risk
12377,315,4,3426.32,0,Dormant / At-Risk
12378,129,2,5416.32,0,Dormant / At-Risk
12379,81,4,1620.22,1,Champions
12380,21,11,9676.300000000001,1,Champions
12381,4,5,1845.31,1,Champions
12383,184,5,1850.56,0,Dormant / At-Risk
12384,28,2,585.27,0,Dormant / At-Risk
12385,379,1,1938.4,0,Dormant / At-Risk
12386,337,2,401.9,0,Dormant / At-Risk
12387,415,1,143.94,0,Dormant / At-Risk
12388,15,8,3901.11,1,Champions
12389,402,3,1433.33,0,Dormant / At-Risk
12390,79,1,549.84,0,Dormant / At-Risk
12391,21,6,2724.84,1,Champions
12392,591,1,234.75000000000003,0,Dormant / At-Risk
12393,72,6,2399.45,1,Champions
12394,63,2,1272.48,0,Dormant / At-Risk
12395,19,15,4721.17,1,Champions
12396,674,1,931.4300000000001,0,Dormant / At-Risk
12397,35,2,2409.9,1,Champions
12398,45,1,1635.6599999999999,0,Dormant / At-Risk
12399,119,7,1962.3,1,Champions
12400,414,1,205.25,0,Dormant / At-Risk
12401,303,1,84.3,0,Dormant / At-Risk
12402,323,6,1256.9,0,Dormant / At-Risk
12403,49,2,1019.36,0,Dormant / At-Risk
12404,682,1,63.24,0,Dormant / At-Risk
12405,148,1,1710.39,0,Dormant / At-Risk
12406,22,5,6390.36,1,Champions
12407,49,5,1708.12,1,Champions
12408,32,8,4340.77,1,Champions
12409,78,7,23419.29,1,Champions
12410,308,3,1013.71,0,Dormant / At-Risk
12411,409,1,346.9,0,Dormant / At-Risk
12412,74,6,2596.93,1,Champions
12413,66,4,999.45,0,Dormant / At-Risk
12414,217,6,952.4100000000001,0,Dormant / At-Risk
12415,24,28,144458.37,1,Champions
12416,656,1,202.56,0,Dormant / At-Risk
12417,3,20,6797.41,1,Champions
12418,112,4,2021.2,1,Champions
12419,385,2,503.01,0,Dormant / At-Risk
12420,63,1,600.39,0,Dormant / At-Risk
12421,15,6,1098.6,1,Champions
12422,95,17,5231.8,1,Champions
12423,0,10,2622.39,1,Champions
12424,162,4,3340.0299999999997,1,Champions
12425,78,2,1741.41,0,Dormant / At-Risk
12426,194,2,1345.21,0,Dormant / At-Risk
12427,21,3,825.8000000000001,1,Champions
12428,25,9,7956.46,1,Champions
12429,9,8,6204.41,1,Champions
12430,43,1,256.4,0,Dormant / At-Risk
12431,35,27,10432.220000000001,1,Champions
12432,42,5,5059.32,1,Champions
12433,0,10,16794.14,1,Champions
12434,84,3,1103.43,0,Dormant / At-Risk
12435,79,6,13925.93,1,Champions
12436,99,1,509.01,0,Dormant / At-Risk
12437,1,39,12683.4,1,Champions
12438,14,2,2906.85,1,Champions
12439,682,2,1142.88,0,Dormant / At-Risk
12440,462,2,859.2,0,Dormant / At-Risk
12441,366,1,173.55,0,Dormant / At-Risk
12442,3,1,172.06,0,Dormant / At-Risk
12443,732,1,485.31,0,Dormant / At-Risk
12444,21,5,5005.46,1,Champions
12445,22,2,434.98,0,Dormant / At-Risk
12446,57,1,1002.3100000000001,0,Dormant / At-Risk
12447,243,1,476.49,0,Dormant / At-Risk
12448,44,1,449.45,0,Dormant / At-Risk
12449,22,6,4835.89,1,Champions
12450,156,5,688.2,0,Dormant / At-Risk
12451,10,8,12669.88,1,Champions
12452,16,2,430.57000000000005,0,Dormant / At-Risk
12453,134,1,707.09,0,Dormant / At-Risk
12454,56,5,16679.78,1,Champions
12455,73,10,5879.95,1,Champions
12456,44,3,3181.04,1,Champions
12457,66,8,2995.91,1,Champions
12458,71,4,1777.49,1,Champions
12459,605,1,454.36,0,Dormant / At-Risk
12460,456,1,326.65,0,Dormant / At-Risk
12461,94,2,826.88,0,Dormant / At-Risk
12462,18,2,1189.59,0,Dormant / At-Risk
12463,53,4,1344.78,1,Champions
12464,10,8,1212.05,1,Champions
12465,17,2,742.19,0,Dormant / At-Risk
12466,682,1,56.73,0,Dormant / At-Risk
12467,423,1,132.8,0,Dormant / At-Risk
12468,187,5,3670.7400000000002,1,Champions
12469,522,2,3070.54,0,Dormant / At-Risk
12470,689,1,211.95,0,Dormant / At-Risk
12471,2,79,39918.19,1,Champions
12472,32,19,16249.29,1,Champions
12473,29,5,3928.05,1,Champions
12474,17,31,12372.75,1,Champions
12475,53,2,1149.64,0,Dormant / At-Risk
12476,15,23,14083.91,1,Champions
12477,22,9,20276.37,1,Champions
12478,3,1,680.99,0,Dormant / At-Risk
12479,11,1,527.2,0,Dormant / At-Risk
12480,28,7,5464.85,1,Champions
12481,22,15,12185.51,1,Champions
12482,576,29,23691.4,1,Champions
12483,17,19,5097.18,1,Champions
12484,32,12,6354.1,1,Champions
12485,529,1,708.1,0,Dormant / At-Risk
12486,431,1,1037.28,0,Dormant / At-Risk
12487,730,1,285.3,0,Dormant / At-Risk
12488,9,3,1298.66,1,Champions
12489,336,1,334.93,0,Dormant / At-Risk
12490,5,21,9823.64,1,Champions
12491,38,1,460.40000000000003,0,Dormant / At-Risk
12492,63,3,715.21,0,Dormant / At-Risk
12493,165,2,433.74,0,Dormant / At-Risk
12494,15,9,1815.27,1,Champions
12495,640,1,357.4,0,Dormant / At-Risk
12496,620,2,45.34,0,Dormant / At-Risk
12497,81,3,6248.5,1,Champions
12498,21,3,403.70000000000005,0,Dormant / At-Risk
12499,560,1,393.72,0,Dormant / At-Risk
12500,23,19,5955.21,1,Champions
12501,336,1,2169.39,0,Dormant / At-Risk
12502,95,5,3723.87,1,Champions
12503,584,1,1126.0,0,Dormant / At-Risk
12504,18,4,779.05,1,Champions
12505,408,1,955.2,0,Dormant / At-Risk
12506,232,1,73.5,0,Dormant / At-Risk
12507,134,4,1844.06,0,Dormant / At-Risk
12508,26,2,397.88,0,Dormant / At-Risk
12509,284,1,176.5,0,Dormant / At-Risk
